Full Name,Date of Birth,Date of Death,Age at Death,Nationality,Profession/Prominence,PED Involvement,Cause of Death,Notable Public/Social Media Presence
Rich Piana,1970-09-26,2017-08-25,46,American,Bodybuilder and YouTuber,Confirmed 27-year steroid use (openly admitted):contentReference[oaicite:22]{index=22},"Collapsed from cardiac arrest; autopsy found enlarged heart & liver (cause officially undetermined):contentReference[oaicite:23]{index=23}","1.2M+ Instagram followers:contentReference[oaicite:24]{index=24}; popular YouTube channel & supplement line"
Mariola Sabanovic-Suarez,c.1976,August 2019,43,Uruguayan,IFBB Physique competitor,Suspected steroid and diuretic use (extreme contest prep),Heart attack a few days after competing (contest conditioning implicated):contentReference[oaicite:25]{index=25},"Died after 2019 Tampa Pro; raised concerns about female bodybuilding health"
Joanna Thomas,1976-12-12,2020-04-26,43,British,Professional female bodybuilder,Confirmed steroid use (documented in bodybuilding film),Undisclosed (had chronic health issues after years of extreme training):contentReference[oaicite:26]{index=26}:contentReference[oaicite:27]{index=27},"Youngest British woman to turn IFBB pro (at 21); featured in TV documentary *Supersize She*"
Luke Sandoe,1989-08-03,2020-05-07,30,British,IFBB professional bodybuilder,Confirmed steroid use (open-class competitor),Heart failure (family refuted initial suicide speculation):contentReference[oaicite:28]{index=28}:contentReference[oaicite:29]{index=29},"2016 UK champion & coach; 3rd place at 2019 Arnold Classic, popular bodybuilding podcast host"
Odalis Santos Mena,c.1998,2021-07-07,23,Mexican,Fitness influencer & bodybuilder,Confirmed (taking Clenbuterol fat-burner not disclosed to doctors):contentReference[oaicite:30]{index=30},Cardiac arrest during cosmetic procedure (anesthesia + PED interaction):contentReference[oaicite:31]{index=31},"Prominent on Instagram; 2019 Miss Hercules (Wellness) champion, died promoting sweat-gland treatment"
George Peterson,c.1984,2021-10-06,37,American,Professional bodybuilder (Classic Physique),Confirmed steroid use (autopsy-confirmed):contentReference[oaicite:32]{index=32},"Sudden cardiac dysrhythmia due to hypertensive heart disease (steroids a factor):contentReference[oaicite:33]{index=33}","2019 Classic Physique Arnold champ; died at Mr. Olympia event, sparking safety debate"
Shawn Rhoden,1975-04-02,2021-11-06,46,Jamaican-American,Professional bodybuilder (2018 Mr. Olympia),Confirmed PED use (implicit at Mr. Olympia level),Heart attack (found dead from myocardial infarction):contentReference[oaicite:34]{index=34},"2018 Mr. Olympia winner; high-profile case of champion dying young"
Ashley Gearhart,c.1984,2022-01-29,37,American,IFBB Pro Women’s Physique bodybuilder,Confirmed (steroids, diuretics in system):contentReference[oaicite:35]{index=35}:contentReference[oaicite:36]{index=36},Cardiac arrest (amid intensive contest diet; steroid, diuretic use noted by coroner):contentReference[oaicite:37]{index=37},"Top-3 finisher at 2020 IFBB Baltimore Pro; death highlighted extreme contest prep dangers"
Bostin Loyd,1992-03-29,2022-02-25,29,American,Bodybuilder and coach (online influencer),Confirmed extreme steroid and PED experimentation:contentReference[oaicite:38]{index=38},Aortic dissection leading to fatal internal bleeding:contentReference[oaicite:39]{index=39}:contentReference[oaicite:40]{index=40},"Notorious for openly sharing steroid cycles; his frank approach influenced a generation of bodybuilders online"
Cedric McMillan,1977-08-17,2022-04-12,44,American,Professional bodybuilder (2017 Arnold Classic champ),Confirmed PED use (acknowledged in interviews),Suspected heart failure (had prior cardiac issues; on life support in 2021):contentReference[oaicite:41]{index=41},"Army instructor and pro bodybuilder; Arnold Schwarzenegger’s favorite for “classic” physique"
Jo Lindner (Joesthetics),1993-01-14,2023-06-30,30,German,Bodybuilder and influencer,Confirmed past steroid use (spoke about cycles):contentReference[oaicite:42]{index=42},Brain aneurysm (sudden rupture):contentReference[oaicite:43]{index=43},"Global fitness influencer (9+ million Instagram followers):contentReference[oaicite:44]{index=44}; known for “Joesthetics” brand"
Zhanna Samsonova,c.1983,2023-07-21,39,Russian,Raw vegan food blogger (influencer),No PEDs (extreme raw fruit-only diet for appearance),Severe malnutrition leading to fatal infection (“cholera-like”):contentReference[oaicite:45]{index=45}:contentReference[oaicite:46]{index=46},"Popular on Instagram/TikTok for raw vegan lifestyle; death ignited debate on extreme diets"
Neil Currey,c.1989,2023-09-11,34,British,IFBB professional bodybuilder,Confirmed PED use (as pro Classic Physique athlete),Suicide (reported by coach; mental health struggles):contentReference[oaicite:47]{index=47},"2022 New York Pro Classic Physique champion; former Mr. Olympia competitor"
Antônio "Antonio" Souza,c.1996,2024-08-03,27,Brazilian,Competitive bodybuilder,Suspected PED use (typical of high-level competitors),Cardiac arrest onstage during competition:contentReference[oaicite:48]{index=48},"2023 Brazilian national champion; collapsed during 2024 Open Bodybuilding Championship"
Illia Yefimchyk (Golem),1988-04-23,2024-09-11,36,Belarusian,Bodybuilder and fitness influencer,Confirmed extreme steroid use (publicly embraced “mutant” regimen):contentReference[oaicite:49]{index=49},Heart attack leading to coma and brain death:contentReference[oaicite:50]{index=50},"Nickname “World’s Most Monstrous Bodybuilder” for 340 lb physique; notable YouTube & 5% Nutrition figure"
